0,1,2,3,4,5,6,7,8,9,10,11,12
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,8,.05,71,13,.09,65,6,.06,65,5,.03,71
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,3,.02,71,4,.02,71,1,.01,71,0,0,0
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,13,.0694,71,6,.04,65,6,.06,71,6,.05,65
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,8,.05,71,5,.03,71,5,.03,71,3,.02,71
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,10,.06,71,8,.05,71,7,.04,71,4,.02,71
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,8,.05,71,8,.05,71,6,.04,65,1,.01,86
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,5,.03,71,6,.04,71,5,.06,60,3,.02,71
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,12,.0694,78,7,.05,71,4,.02,65,2,.01,65
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,9,.05,78,4,.02,71,3,.05,71,1,.01,65
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,6,.03,78,8,.05,65,4,.02,56,1,.01,78
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,5,.03,71,6,.04,65,3,.03,65,2,.01,65
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,4,.02,71,9,.05,71,3,.03,60,3,.02,71
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,8,.05,78,7,.04,71,3,.02,71,1,.01,65
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,2,.01,71,4,.03,65,5,.04,65,5,.03,71
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,3,.01,71,7,.04,71,2,.02,65,2,.01,78
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,11,.0694,71,11,.0694,65,6,.06,65,2,.01,65
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,10,.06,71,4,.02,71,3,.02,71,4,.03,65
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,10,.06,71,6,.04,65,4,.03,60,3,.02,71
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,5,.03,78,3,.02,71,7,.05,65,2,.01,71
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,2,.01,78,5,.03,78,2,.01,71,3,.02,65
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,12,.06,71,9,.05,71,4,.02,71,1,.01,71
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,7,.04,78,8,.05,78,3,.03,78,2,.01,71
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,4,.02,78,7,.04,71,4,.05,65,4,.02,65
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,6,.04,71,7,.04,71,4,.03,65,1,.01,71
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,4,.02,71,7,.04,71,2,.01,65,2,.01,56
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,7,.04,71,4,.02,65,1,.01,71,1,0,52
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,14,.08,71,12,.08,71,7,.11,65,3,.02,78
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,7,.04,71,9,.06,71,4,.06,60,1,.01,56
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,7,.04,78,7,.04,71,7,.06,71,3,.02,65
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,4,.02,78,2,.01,65,3,.02,60,0,0,0
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,7,.04,78,8,.05,71,6,.04,71,2,.01,71
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,5,.02,71,6,.04,71,4,.03,60,0,0,0
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,18,.11,71,8,.06,71,6,.05,71,2,.01,71
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,6,.03,71,7,.06,65,7,.04,65,2,.01,78
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,2,.01,78,0,0,0,0,0,65,1,.01,71
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,1,0,78,9,.05,71,2,.03,65,0,0,0
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,14,.08,71,9,.05,71,4,.02,65,4,.02,71
402269,0,0,0,0,0,0,0,0,0,0,0,0
