0,1,2,3,4,5,6,7,8,9
402266,0,0,0,0,0,0,0,0,0
402267,0,1,0,14,.0839,71,5,.03,65
402268,0,0,0,0,0,0,0,0,0
402260,0,0,0,0,0,0,0,0,0
402261,0,0,0,0,0,0,0,0,0
402262,0,0,0,0,0,0,0,0,0
402263,0,0,0,0,0,0,0,0,0
402264,0,0,0,15,.1,65,7,.0694,65
402265,11,.0694,71,7,.06,65,6,.06,60
402266,0,0,0,0,0,0,0,0,0
402267,0,1,0,8,.0511,71,10,.1,65
402268,0,0,0,0,0,0,0,0,0
402260,0,0,0,0,0,0,0,0,0
402261,0,0,0,0,0,0,0,0,0
402262,0,0,0,0,0,0,0,0,0
402263,0,0,0,0,0,0,0,0,0
402264,0,0,0,9,.06,65,5,.04,65
402265,11,.08,65,14,.11,65,7,.06,65
402266,0,0,0,0,0,0,0,0,0
402267,0,1,0,8,.0589,71,7,.0706,65
402268,0,0,0,0,0,0,0,0,0
402260,0,0,0,0,0,0,0,0,0
402261,0,0,0,0,0,0,0,0,0
402262,0,0,0,0,0,0,0,0,0
402263,0,0,0,0,0,0,0,0,0
402264,0,0,0,15,.1,65,4,.06,65
402265,12,.0694,71,9,.06,71,7,.08,71
402266,0,0,0,0,0,0,0,0,0
402267,0,1,0,7,.045,71,3,.0456,60
402268,0,0,0,0,0,0,0,0,0
402260,0,0,0,0,0,0,0,0,0
402261,0,0,0,0,0,0,0,0,0
402262,0,0,0,0,0,0,0,0,0
402263,0,0,0,0,0,0,0,0,0
402264,0,0,0,6,.05,71,5,.05,65
402265,9,.05,78,5,.04,71,6,.04,65
402266,0,0,0,0,0,0,0,0,0
402267,0,1,0,7,.0467,71,8,.0472,65
402268,0,0,0,0,0,0,0,0,0
402260,0,0,0,0,0,0,0,0,0
402261,0,0,0,0,0,0,0,0,0
402262,0,0,0,0,0,0,0,0,0
402263,0,0,0,0,0,0,0,0,0
402264,0,0,0,11,.06,71,5,.05,65
402265,9,.05,71,10,.1,65,2,.05,56
402266,0,0,0,0,0,0,0,0,0
402267,0,1,0,6,.0383,71,2,.0611,60
402268,0,0,0,0,0,0,0,0,0
402260,0,0,0,0,0,0,0,0,0
402261,0,0,0,0,0,0,0,0,0
402262,0,0,0,0,0,0,0,0,0
402263,0,0,0,0,0,0,0,0,0
402264,0,0,0,9,.06,71,4,.03,65
402265,7,.05,71,9,.06,71,3,.02,56
402266,0,0,0,0,0,0,0,0,0
402267,0,1,0,11,.0683,71,5,.0311,56
402268,0,0,0,0,0,0,0,0,0
402260,0,0,0,0,0,0,0,0,0
402261,0,0,0,0,0,0,0,0,0
402262,0,0,0,0,0,0,0,0,0
402263,0,0,0,0,0,0,0,0,0
402264,0,0,0,8,.05,71,4,.03,65
402265,6,.03,78,4,.02,71,1,.01,78
402266,0,0,0,0,0,0,0,0,0
402267,0,1,0,7,.0422,71,9,.0489,65
402268,0,0,0,0,0,0,0,0,0
402260,0,0,0,0,0,0,0,0,0
402261,0,0,0,0,0,0,0,0,0
402262,0,0,0,0,0,0,0,0,0
402263,0,0,0,0,0,0,0,0,0
402264,0,0,0,7,.04,71,4,.05,71
402265,10,.06,78,13,.08,71,6,.08,60
402266,0,0,0,0,0,0,0,0,0
402267,0,1,0,8,.0511,71,6,.0822,60
402268,0,0,0,0,0,0,0,0,0
402260,0,0,0,0,0,0,0,0,0
402261,0,0,0,0,0,0,0,0,0
402262,0,0,0,0,0,0,0,0,0
402263,0,0,0,0,0,0,0,0,0
402264,0,0,0,10,.06,78,7,.06,78
402265,6,.03,78,6,.04,71,5,.03,71
402266,0,0,0,0,0,0,0,0,0
402267,1,.5161,1,7,.045,71,5,.0289,65
402268,0,0,0,0,0,0,0,0,0
402260,0,0,0,0,0,0,0,0,0
402261,0,0,0,0,0,0,0,0,0
402262,0,0,0,0,0,0,0,0,0
402263,0,0,0,0,0,0,0,0,0
402264,0,0,0,13,.08,71,9,.0694,71
402265,13,.08,71,11,.0694,71,7,.09,71
402266,0,0,0,0,0,0,0,0,0
402267,0,0,0,10,.0589,71,6,.0361,65
402268,0,0,0,0,0,0,0,0,0
402260,0,0,0,0,0,0,0,0,0
402261,0,0,0,0,0,0,0,0,0
402262,0,0,0,0,0,0,0,0,0
402263,0,0,0,0,0,0,0,0,0
402264,0,0,0,12,.0694,71,6,.06,65
402265,9,.05,78,8,.05,71,2,.01,65
402266,0,0,0,0,0,0,0,0,0
402267,0,0,0,5,.0294,71,3,.0172,65
402268,0,0,0,0,0,0,0,0,0
402260,0,0,0,0,0,0,0,0,0
402261,0,0,0,0,0,0,0,0,0
402262,0,0,0,0,0,0,0,0,0
402263,0,0,0,0,0,0,0,0,0
402264,0,0,0,8,.05,71,4,.03,65
402265,7,.04,78,9,.06,71,5,.03,71
402266,0,0,0,0,0,0,0,0,0
402267,0,0,0,11,.0628,71,9,.0533,65
402268,0,0,0,0,0,0,0,0,0
402260,0,0,0,0,0,0,0,0,0
402261,0,0,0,0,0,0,0,0,0
402262,0,0,0,0,0,0,0,0,0
402263,0,0,0,0,0,0,0,0,0
402264,0,0,0,13,.08,71,6,.08,65
402265,8,.05,71,8,.05,71,3,.02,71
402266,0,0,0,0,0,0,0,0,0
402267,0,0,0,9,.0572,71,5,.0306,60
402268,0,0,0,0,0,0,0,0,0
402260,0,0,0,0,0,0,0,0,0
402261,0,0,0,0,0,0,0,0,0
402262,0,0,0,0,0,0,0,0,0
402263,0,0,0,0,0,0,0,0,0
402264,0,0,0,5,.03,71,4,.02,65
